Pos	iHS	DiHH	XPEHH	Fst	DDAF	iSAFE	nSL
29403	-1.61048	0.124407	-0.743183451	1.251350816	1.39236867	3.428496	-1.712091
45211	-1.61048	0.124407	1.107401394	1.251350816	1.39236867	4.143399	-1.124177
49941	-1.61048	0.124407	-0.14911451	1.251350816	1.39236867	4.143399	-1.354266
102478	-1.31299	0.0788463	-0.188049293	1.334446143	1.452853513	3.933398	-1.461548
134500	-1.31299	0.0788463	0.525020672	1.334446143	1.452853513	3.933398	-0.513999
248247	-1.31299	0.0788463	1.259914698	1.500735474	1.573830517	4.125204	-0.320531
281848	-1.31299	0.0788463	2.25109983	1.500735474	1.573830517	4.212256	-1.055472
362794	-1.14998	0.0663203	-0.131008339	2.250290654	2.118223379	3.358913	-1.32335
377664	-1.31299	0.0788463	-0.223887974	1.334446143	1.452853513	5.593812	-1.154942
428819	-0.935083	0.0485366	-0.165314901	2.500444988	2.299692546	4.657796	-1.919328
465238	-1.31299	0.0788463	-0.148064198	1.417571073	1.513345675	5.36826	-1.684176
465885	-1.61048	0.124407	-0.016935377	1.168304826	1.331876508	5.470685	-1.840614
481158	-1.14998	0.0663203	0.399788596	2.166938768	2.057738536	4.936681	-1.563247
487672	-1.14998	0.0663203	0.841443617	2.166938768	2.057738536	4.936681	-1.277061
491857	-1.14998	0.0663203	0.567626625	2.166938768	2.057738536	4.936681	-1.070192
527682	-1.61048	0.124407	0.657074189	1.168304826	1.331876508	5.470685	-1.628833
552198	-0.935083	0.0485366	1.282594944	1.094584099	1.426443845	2.477015	-0.690108
553406	0.56356	0.0317166	1.790597864	-0.43915213	-0.422279081	-0.543182	2.084266
554352	-0.935083	0.0485366	1.785841282	1.094584099	1.426443845	2.477015	-0.740849
554810	-0.935083	0.0485366	1.43175702	-0.440237569	0.424552632	2.477015	-0.843889
554919	-0.935083	0.0485366	1.43175702	-0.440237569	0.424552632	2.477015	-0.845566
555071	-0.935083	0.0485366	1.386547874	0.620657664	1.249638884	2.477015	-0.847242
556292	0.56356	0.0317166	1.411541548	-0.449214262	-0.392813371	-0.543182	2.538366
558857	-0.935083	0.0485366	1.257060749	-0.450152567	0.395086922	2.477015	-1.150884
560705	-0.935083	0.0485366	1.162275049	-0.450152567	0.395086922	2.477015	-1.0574
563833	-0.935083	0.0485366	0.340995926	-0.450152567	0.395086922	2.477015	-0.690437
564957	-0.935083	0.0485366	0.336977266	-0.450152567	0.395086922	2.477015	-0.558505
566097	-0.935083	0.0485366	0.336977266	-0.450152567	0.395086922	2.477015	-0.548502
566750	-0.935083	0.0485366	0.333938008	0.551703579	1.220173173	2.477015	-0.546708
567574	-0.935083	0.0485366	0.333938008	0.551703579	1.220173173	2.477015	-0.540098
568184	-0.935083	0.0485366	0.259723631	0.551703579	1.220173173	2.477015	-0.554623
568194	-0.935083	0.0485366	0.259723631	0.551703579	1.220173173	2.477015	-0.553228
569873	-0.935083	0.0485366	0.406421588	0.551703579	1.220173173	2.477015	-0.542934
572625	-0.935083	0.0485366	0.672127349	0.551703579	1.220173173	2.477015	-0.511434
573823	-0.935083	0.0485366	0.716350754	0.551703579	1.220173173	2.477015	-0.449524
579153	0.56356	0.0317166	1.435916437	-0.449214262	-0.392813371	-0.543182	1.826374
584188	0.56356	0.0317166	1.183375611	-0.449214262	-0.392813371	-0.543182	1.658478
585060	-0.935083	0.0485366	1.1553564	0.551703579	1.220173173	2.477015	-0.233736
586513	-0.935083	0.0485366	1.003543784	0.551703579	1.220173173	2.477015	-0.208734
586712	-0.935083	0.0485366	1.057879911	-0.450152567	0.395086922	2.477015	-0.11751
587434	-1.31299	0.0788463	0.994151363	1.500735474	1.573830517	4.844263	-1.108149
588005	-0.935083	0.0485366	1.60135778	-0.450152567	0.395086922	2.477015	-0.148028
588488	-0.935083	0.0485366	1.576320824	1.094584099	1.426443845	2.477015	-0.173221
590249	0.56356	0.0317166	0.777988355	-0.473496276	-0.274943397	-0.543182	1.723177
592064	-0.935083	0.0485366	1.638318576	1.608066079	1.992589488	3.061764	-0.297733
601896	-1.31299	0.0788463	2.171318983	1.417571073	1.513345675	5.36826	-0.006979
607936	-0.935083	0.0485366	-1.253246414	2.417043763	2.239200384	2.943588	0.603073
629760	-1.31299	0.0788463	0.86877744	1.417571073	1.513345675	5.166607	-0.451985
658133	-2.2779	0.311712	0.878724338	0.260541906	0.666506642	3.215159	-0.774668
689277	-1.31299	0.0788463	0.871998069	1.667153085	1.694807522	4.922569	-0.984072
692218	-1.14998	0.0663203	1.060250688	2.08359675	1.997246374	3.958973	-0.525703
721694	-1.14998	0.0663203	0.127861813	2.08359675	1.997246374	3.958973	-1.423306
738632	-1.14998	0.0663203	1.344194587	2.250290654	2.118223379	3.516913	-0.524551
759272	-0.935083	0.0485366	0.657443905	2.667257303	2.42066955	2.373177	-1.317432
771193	-1.31299	0.0788463	-1.204996576	1.750396426	1.755292365	4.331363	-1.079514
783830	-0.935083	0.0485366	1.201745891	2.417043763	2.239200384	2.470595	-1.250505
785846	-1.61048	0.124407	0.011766566	1.085308175	1.271391665	5.503097	-1.786328
801413	-1.61048	0.124407	-0.514934755	1.085308175	1.271391665	5.503097	-1.760811
806455	-1.14998	0.0663203	-0.427055895	2.250290654	2.118223379	2.702818	-1.203511
808613	-1.14998	0.0663203	-0.38519938	2.154495934	2.087204247	2.702818	-1.112877
809294	-1.61048	0.124407	-0.603980088	1.251350816	1.39236867	5.618166	-1.826531
887504	-1.88285	0.185167	1.013166805	0.342285368	0.726998804	3.300016	-1.004103
